[2026-06-28 09:04:54] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True use_https=True
[2026-06-28 09:04:54] [ERROR] Cloudflare error 502：tunnel 已通，但 origin 回應失敗。請確認 origin 為 https://127.0.0.1:8765、No TLS Verify 已開，並重啟 cloudflared Windows 服務。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search cf_error=1033
[2026-06-28 09:04:54] [ERROR] Cloudflare error 502：tunnel 已通，但 origin 回應失敗。請確認 origin 為 https://127.0.0.1:8765、No TLS Verify 已開，並重啟 cloudflared Windows 服務。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 09:08:42] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 09:18:20] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True use_https=False
[2026-06-28 09:18:20] [ERROR] Cloudflare Zero Trust → Networks → Tunnels → Public Hostname：/hymn_search → http://127.0.0.1:8765（必須用 http，勿用 https 或 localhost）。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 09:29:15] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 09:29:16] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True use_https=False
[2026-06-28 09:29:16] [ERROR] Cloudflare Zero Trust → Networks → Tunnels → Public Hostname：/hymn_search → http://127.0.0.1:8765（必須用 http，勿用 https 或 localhost）。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 09:31:12] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
